"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-14T16:56:00-05:00,2024-04-14 16:56:00,78,8,20,220,0.01,29.93,60,125,29.66
2024-04-14T15:56:00-05:00,2024-04-14 15:56:00,79,15,21,220,0,29.93,60,164,29.66
2024-04-14T14:56:00-05:00,2024-04-14 14:56:00,79,12,21,210,0,29.94,58,740,29.67
2024-04-14T13:56:00-05:00,2024-04-14 13:56:00,79,14,23,210,0,29.95,58,843,29.68
2024-04-14T12:56:00-05:00,2024-04-14 12:56:00,76,9,18,220,0,29.96,58,862,29.69
2024-04-14T11:56:00-05:00,2024-04-14 11:56:00,75,10,20,200,0.01,30,60,824,29.73
2024-04-14T10:56:00-05:00,2024-04-14 10:56:00,72,14,20,220,0,30.02,64,735,29.75
2024-04-14T09:56:00-05:00,2024-04-14 09:56:00,69,12,17,220,0,30.03,68,600,29.76
2024-04-14T08:56:00-05:00,2024-04-14 08:56:00,67,10,18,220,0,30.03,71,428,29.76
2024-04-14T07:56:00-05:00,2024-04-14 07:56:00,63,7,,200,0.01,30.04,70,232,29.76
2024-04-14T05:56:00-05:00,2024-04-14 05:56:00,63,10,,210,0,30,60,0,29.73
2024-04-14T04:56:00-05:00,2024-04-14 04:56:00,58,8,,200,0,29.99,75,0,29.72
2024-04-14T03:56:00-05:00,2024-04-14 03:56:00,57,7,,190,0,30,77,0,29.73
2024-04-14T02:56:00-05:00,2024-04-14 02:56:00,60,7,,210,0,30.02,72,0,29.75
2024-04-14T01:56:00-05:00,2024-04-14 01:56:00,57,3,,190,0,30.04,80,0,29.76
2024-04-14T00:56:00-05:00,2024-04-14 00:56:00,55,5,,190,0,30.05,86,0,29.78
2024-04-13T23:56:00-05:00,2024-04-13 23:56:00,59,0,,0,0,30.06,72,0,29.79
2024-04-13T22:56:00-05:00,2024-04-13 22:56:00,63,5,,220,0,30.06,60,0,29.79
2024-04-13T21:56:00-05:00,2024-04-13 21:56:00,69,5,,210,0,30.06,45,0,29.79
2024-04-13T20:56:00-05:00,2024-04-13 20:56:00,69,5,,190,0,30.05,44,0,29.78
2024-04-13T19:56:00-05:00,2024-04-13 19:56:00,72,6,,190,0.01,30.04,41,0,29.77
2024-04-13T18:56:00-05:00,2024-04-13 18:56:00,79,8,,190,0,30.05,31,104,29.77
2024-04-13T17:56:00-05:00,2024-04-13 17:56:00,82,10,20,200,0,30.06,28,308,29.78
2024-04-13T16:56:00-05:00,2024-04-13 16:56:00,84,10,21,220,0,30.06,30,496,29.79
2024-04-13T15:56:00-05:00,2024-04-13 15:56:00,84,12,20,200,0,30.08,30,655,29.81
2024-04-13T14:56:00-05:00,2024-04-13 14:56:00,84,10,20,210,0,30.1,31,773,29.83
2024-04-13T13:56:00-05:00,2024-04-13 13:56:00,83,14,20,200,0,30.13,34,843,29.86
2024-04-13T12:56:00-05:00,2024-04-13 12:56:00,81,10,16,220,0,30.16,39,859,29.88
2024-04-13T11:56:00-05:00,2024-04-13 11:56:00,78,9,,200,0.01,30.2,45,821,29.91
2024-04-13T10:56:00-05:00,2024-04-13 10:56:00,74,7,,-1,0,30.22,45,732,29.94
2024-04-13T09:56:00-05:00,2024-04-13 09:56:00,68,,,,0,30.23,50,596,29.95
2024-04-13T08:56:00-05:00,2024-04-13 08:56:00,61,,,,0.01,30.24,67,424,29.96
