"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-19T11:56:00-05:00,2024-04-19 11:56:00,57,18,25,20,0,30.17,69,209,29.92
2024-04-19T10:56:00-05:00,2024-04-19 10:56:00,56,20,,40,0,30.18,66,188,29.93
2024-04-19T09:56:00-05:00,2024-04-19 09:56:00,55,16,,10,0,30.17,69,155,29.91
2024-04-19T08:56:00-05:00,2024-04-19 08:56:00,55,18,,360,0,30.16,72,113,29.9
2024-04-19T07:56:00-05:00,2024-04-19 07:56:00,55,15,,360,0,30.14,83,65,29.89
2024-04-19T06:56:00-05:00,2024-04-19 06:56:00,55,15,,360,0,30.13,83,14,29.87
2024-04-19T03:56:00-05:00,2024-04-19 03:56:00,58,16,23,360,0,30.06,84,0,29.81
2024-04-19T02:56:00-05:00,2024-04-19 02:56:00,58,14,,340,0,30.02,90,0,29.78
2024-04-19T01:56:00-05:00,2024-04-19 01:56:00,60,18,,330,0.03,30.01,93,0,29.76
2024-04-19T00:56:00-05:00,2024-04-19 00:56:00,63,23,,320,0.16,29.98,93,0,29.73
2024-04-18T23:56:00-05:00,2024-04-18 23:56:00,69,14,,210,0,29.92,93,0,29.67
2024-04-18T22:56:00-05:00,2024-04-18 22:56:00,69,10,,200,0,29.91,90,0,29.66
2024-04-18T21:56:00-05:00,2024-04-18 21:56:00,69,17,,210,0,29.9,90,0,29.65
2024-04-18T20:56:00-05:00,2024-04-18 20:56:00,69,15,,200,0,29.91,90,0,29.66
2024-04-18T19:56:00-05:00,2024-04-18 19:56:00,70,16,,200,0,29.9,90,0,29.65
2024-04-18T18:56:00-05:00,2024-04-18 18:56:00,71,20,,190,0,29.89,90,27,29.64
2024-04-18T17:56:00-05:00,2024-04-18 17:56:00,74,22,26,200,0.01,29.88,85,197,29.63
2024-04-18T16:56:00-05:00,2024-04-18 16:56:00,74,12,,200,0.01,29.89,91,125,29.64
2024-04-18T15:56:00-05:00,2024-04-18 15:56:00,75,13,,230,0.01,29.91,82,165,29.65
2024-04-18T14:56:00-05:00,2024-04-18 14:56:00,78,12,,220,0,29.9,69,490,29.65
2024-04-18T13:56:00-05:00,2024-04-18 13:56:00,77,17,,200,0,29.91,71,213,29.66
2024-04-18T12:56:00-05:00,2024-04-18 12:56:00,79,20,,210,0,29.93,67,548,29.68
2024-04-18T11:56:00-05:00,2024-04-18 11:56:00,78,17,,190,0,29.96,69,526,29.71
2024-04-18T10:56:00-05:00,2024-04-18 10:56:00,76,16,,180,0,29.96,77,187,29.71
2024-04-18T10:03:00-05:00,2024-04-18 10:03:00,75,14,,180,0,29.96,83,159,29.71
2024-04-18T08:56:00-05:00,2024-04-18 08:56:00,71,12,,180,0,29.98,93,112,29.73
2024-04-18T07:56:00-05:00,2024-04-18 07:56:00,70,10,,180,0,29.98,97,64,29.73
2024-04-18T06:56:00-05:00,2024-04-18 06:56:00,69,8,,160,0.01,29.97,96,13,29.72
2024-04-18T05:56:00-05:00,2024-04-18 05:56:00,69,6,,170,0,29.96,96,0,29.71
2024-04-18T05:05:00-05:00,2024-04-18 05:05:00,68,12,,180,0,29.97,100,0,29.71
2024-04-18T04:02:00-05:00,2024-04-18 04:02:00,68,9,,190,0,29.97,100,0,29.71
2024-04-18T02:56:00-05:00,2024-04-18 02:56:00,67,7,,190,0,29.95,97,0,29.7
2024-04-18T01:56:00-05:00,2024-04-18 01:56:00,67,8,,180,0,29.96,97,0,29.71
2024-04-18T00:56:00-05:00,2024-04-18 00:56:00,67,8,,180,0,29.98,93,0,29.73
2024-04-17T23:56:00-05:00,2024-04-17 23:56:00,68,6,,150,0,29.98,93,0,29.74
2024-04-17T22:56:00-05:00,2024-04-17 22:56:00,68,7,,150,0,29.98,93,0,29.73
2024-04-17T21:56:00-05:00,2024-04-17 21:56:00,69,6,,160,0,29.99,93,0,29.74
2024-04-17T20:56:00-05:00,2024-04-17 20:56:00,70,7,,150,0,29.98,90,0,29.73
