"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Relative Pressure (inHg)","Humidity (%)","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-19T12:56:00-05:00,2024-04-19 12:56:00,62,9,,60,0,30.13,78,220,29.94
2024-04-19T11:56:00-05:00,2024-04-19 11:56:00,61,9,16,20,0,30.13,81,210,29.94
2024-04-19T10:56:00-05:00,2024-04-19 10:56:00,61,6,,50,0,30.14,81,187,29.94
2024-04-19T09:56:00-05:00,2024-04-19 09:56:00,61,10,18,20,0,30.13,81,152,29.93
2024-04-19T08:56:00-05:00,2024-04-19 08:56:00,61,12,,30,0,30.11,78,108,29.92
2024-04-19T07:56:00-05:00,2024-04-19 07:56:00,61,9,,20,0,30.1,81,58,29.91
2024-04-19T06:56:00-05:00,2024-04-19 06:56:00,62,13,,30,0,30.08,80,6,29.89
2024-04-19T05:56:00-05:00,2024-04-19 05:56:00,64,9,,30,0,30.04,84,0,29.85
2024-04-19T04:56:00-05:00,2024-04-19 04:56:00,67,12,18,40,0.01,30.01,90,0,29.82
2024-04-19T03:56:00-05:00,2024-04-19 03:56:00,70,12,,20,0,29.99,90,0,29.8
2024-04-19T02:56:00-05:00,2024-04-19 02:56:00,72,0,,0,0,29.96,100,0,29.77
2024-04-19T02:10:00-05:00,2024-04-19 02:10:00,72,0,,0,0,29.96,100,0,29.76
2024-04-19T00:56:00-05:00,2024-04-19 00:56:00,72,0,,0,0,29.95,100,0,29.76
2024-04-18T23:56:00-05:00,2024-04-18 23:56:00,73,3,,170,0,29.95,100,0,29.76
2024-04-18T22:56:00-05:00,2024-04-18 22:56:00,74,3,,160,0,29.95,97,0,29.75
2024-04-18T21:56:00-05:00,2024-04-18 21:56:00,75,5,,180,0,29.95,94,0,29.76
2024-04-18T20:56:00-05:00,2024-04-18 20:56:00,76,5,,160,0,29.92,94,0,29.73
2024-04-18T19:56:00-05:00,2024-04-18 19:56:00,76,3,,-1,0,29.91,97,0,29.72
2024-04-18T18:56:00-05:00,2024-04-18 18:56:00,78,0,,0,0,29.9,90,84,29.71
2024-04-18T17:56:00-05:00,2024-04-18 17:56:00,80,3,,120,0,29.89,85,213,29.7
2024-04-18T16:56:00-05:00,2024-04-18 16:56:00,80,0,,0,0,29.89,85,331,29.7
2024-04-18T15:56:00-05:00,2024-04-18 15:56:00,80,0,,0,0,29.89,85,431,29.7
2024-04-18T14:56:00-05:00,2024-04-18 14:56:00,81,6,,180,0,29.91,77,504,29.72
2024-04-18T13:56:00-05:00,2024-04-18 13:56:00,77,5,,190,0,29.92,88,217,29.73
2024-04-18T12:56:00-05:00,2024-04-18 12:56:00,75,5,,160,0,29.94,88,220,29.75
2024-04-18T11:56:00-05:00,2024-04-18 11:56:00,74,7,,180,0,29.96,91,209,29.76
2024-04-18T11:02:00-05:00,2024-04-18 11:02:00,73,10,,190,0,29.96,94,189,29.77
2024-04-18T09:56:00-05:00,2024-04-18 09:56:00,71,7,,180,0,29.96,96,151,29.77
2024-04-18T08:56:00-05:00,2024-04-18 08:56:00,71,7,,180,0,29.97,96,107,29.78
2024-04-18T06:56:00-05:00,2024-04-18 06:56:00,69,3,,180,0,29.96,100,5,29.77
