"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Yearly Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2024-04-19T11:30:00-07:00,2024-04-19 11:30:00,65.4,0,0,2.9,246,0,0,0.04,0.23,8.86,30.22,67,1,64.5,29.56
2024-04-19T11:25:00-07:00,2024-04-19 11:25:00,64.4,2,2,2.9,246,0,0,0.04,0.23,8.86,30.22,70,1,80.9,29.57
2024-04-19T11:20:00-07:00,2024-04-19 11:20:00,63.5,0,0,2.9,96,0,0,0.04,0.23,8.86,30.23,70,1,81.3,29.57
2024-04-19T11:15:00-07:00,2024-04-19 11:15:00,62.9,0,0,2.9,90,0,0,0.04,0.23,8.86,30.22,71,1,83.9,29.57
2024-04-19T11:10:00-07:00,2024-04-19 11:10:00,62.2,1.3,1.3,2.9,144,0,0,0.04,0.23,8.86,30.23,74,1,75,29.57
2024-04-19T11:05:00-07:00,2024-04-19 11:05:00,61.5,2,2,2.9,150,0,0,0.04,0.23,8.86,30.23,74,1,70.7,29.57
2024-04-19T11:00:00-07:00,2024-04-19 11:00:00,61.3,1.5,1.5,2.9,60,0,0,0.04,0.23,8.86,30.23,75,1,66.7,29.57
2024-04-19T10:55:00-07:00,2024-04-19 10:55:00,61.7,0,0,2.9,240,0,0,0.04,0.23,8.86,30.23,74,1,114,29.57
2024-04-19T10:50:00-07:00,2024-04-19 10:50:00,61.5,0,0,2.9,54,0,0,0.04,0.23,8.86,30.23,74,1,157.1,29.57
2024-04-19T10:45:00-07:00,2024-04-19 10:45:00,61.5,2,2,2.9,54,0,0,0.04,0.23,8.86,30.23,75,1,175.7,29.57
2024-04-19T10:40:00-07:00,2024-04-19 10:40:00,61.1,1.3,1.3,2.9,66,0,0,0.04,0.23,8.86,30.23,77,2,199.2,29.57
2024-04-19T10:35:00-07:00,2024-04-19 10:35:00,60.9,1.7,1.7,2.9,48,0,0,0.04,0.23,8.86,30.23,78,1,189.7,29.57
2024-04-19T10:30:00-07:00,2024-04-19 10:30:00,60.9,0,0,2.9,54,0,0,0.04,0.23,8.86,30.23,77,1,186.8,29.57
2024-04-19T10:25:00-07:00,2024-04-19 10:25:00,60.6,2,2,2.9,54,0,0,0.04,0.23,8.86,30.23,78,1,172.2,29.57
2024-04-19T10:20:00-07:00,2024-04-19 10:20:00,60,0,0,2.9,240,0,0,0.04,0.23,8.86,30.23,78,1,167.3,29.57
2024-04-19T10:15:00-07:00,2024-04-19 10:15:00,59.7,0,0,2.9,234,0,0,0.04,0.23,8.86,30.23,80,1,162.3,29.57
2024-04-19T10:10:00-07:00,2024-04-19 10:10:00,60,2.6,2.6,2.9,282,0,0,0.04,0.23,8.86,30.22,81,1,173.2,29.57
2024-04-19T10:05:00-07:00,2024-04-19 10:05:00,59.9,0,0,2.9,324,0,0,0.04,0.23,8.86,30.23,81,1,153.2,29.58
2024-04-19T10:00:00-07:00,2024-04-19 10:00:00,59.9,0,0,2.9,342,0,0,0.04,0.23,8.86,30.22,81,1,127.3,29.57
2024-04-19T09:55:00-07:00,2024-04-19 09:55:00,59.5,0,0,2.9,54,0,0,0.04,0.23,8.86,30.22,82,1,132,29.57
2024-04-19T09:50:00-07:00,2024-04-19 09:50:00,59.1,1.3,1.3,2.9,66,0,0,0.04,0.23,8.86,30.23,82,1,127.2,29.57
