"Date","Simple Date","Outdoor Temperature (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Hourly Rain (in/hr)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Yearly Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Absolute Pressure (inHg)"
2023-09-15T23:55:00-07:00,2023-09-15 23:55:00,68.1,1.5,1.5,7.1,216,0,0,0,4.53,19.91,29.77,86,0,0,29.56
2023-09-15T23:50:00-07:00,2023-09-15 23:50:00,68.3,1.5,1.5,7.1,216,0,0,0,4.53,19.91,29.77,85,0,0,29.55
2023-09-15T23:45:00-07:00,2023-09-15 23:45:00,68.3,2,2,7.1,222,0,0,0,4.53,19.91,29.76,85,0,0,29.55
2023-09-15T23:40:00-07:00,2023-09-15 23:40:00,68.3,0,0,7.1,216,0,0,0,4.53,19.91,29.76,85,0,0,29.55
2023-09-15T23:35:00-07:00,2023-09-15 23:35:00,68.3,1.3,1.3,7.1,222,0,0,0,4.53,19.91,29.77,85,0,0,29.55
2023-09-15T23:30:00-07:00,2023-09-15 23:30:00,68.3,1.7,1.7,7.1,228,0,0,0,4.53,19.91,29.76,85,0,0,29.55
2023-09-15T23:25:00-07:00,2023-09-15 23:25:00,68.3,2.2,2.2,7.1,228,0,0,0,4.53,19.91,29.76,85,0,0,29.55
2023-09-15T23:20:00-07:00,2023-09-15 23:20:00,68.5,1.7,1.7,7.1,210,0,0,0,4.53,19.91,29.76,85,0,0,29.55
2023-09-15T23:15:00-07:00,2023-09-15 23:15:00,68.5,1.5,1.5,7.1,210,0,0,0,4.53,19.91,29.77,85,0,0,29.56
2023-09-15T23:10:00-07:00,2023-09-15 23:10:00,68.5,0,0,7.1,210,0,0,0,4.53,19.91,29.77,85,0,0,29.55
2023-09-15T23:05:00-07:00,2023-09-15 23:05:00,68.5,1.5,1.5,7.1,216,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T23:00:00-07:00,2023-09-15 23:00:00,68.7,2.6,2.6,7.1,216,0,0,0,4.53,19.91,29.78,84,0,0,29.56
2023-09-15T22:55:00-07:00,2023-09-15 22:55:00,68.7,2,2,7.1,216,0,0,0,4.53,19.91,29.77,84,0,0,29.55
2023-09-15T22:50:00-07:00,2023-09-15 22:50:00,68.9,2,2,7.1,216,0,0,0,4.53,19.91,29.77,83,0,0,29.55
2023-09-15T22:45:00-07:00,2023-09-15 22:45:00,68.9,1.5,1.5,7.1,216,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T22:40:00-07:00,2023-09-15 22:40:00,68.9,0,0,7.1,222,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T22:35:00-07:00,2023-09-15 22:35:00,68.9,0,0,7.1,216,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T22:30:00-07:00,2023-09-15 22:30:00,68.9,1.3,1.3,7.1,216,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T22:25:00-07:00,2023-09-15 22:25:00,68.9,0,0,7.1,222,0,0,0,4.53,19.91,29.77,83,0,0,29.56
2023-09-15T22:20:00-07:00,2023-09-15 22:20:00,69.2,0,0,7.1,216,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T22:15:00-07:00,2023-09-15 22:15:00,69,0,0,7.1,216,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T22:10:00-07:00,2023-09-15 22:10:00,68.9,0,0,7.1,216,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T22:05:00-07:00,2023-09-15 22:05:00,68.7,0,0,7.1,222,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T22:00:00-07:00,2023-09-15 22:00:00,68.7,0,0,7.1,222,0,0,0,4.53,19.91,29.76,84,0,0,29.55
2023-09-15T21:55:00-07:00,2023-09-15 21:55:00,68.7,0,0,7.1,222,0,0,0,4.53,19.91,29.77,84,0,0,29.55
2023-09-15T21:50:00-07:00,2023-09-15 21:50:00,68.9,1.5,1.5,7.1,222,0,0,0,4.53,19.91,29.77,83,0,0,29.55
2023-09-15T21:45:00-07:00,2023-09-15 21:45:00,68.9,0,0,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:40:00-07:00,2023-09-15 21:40:00,68.9,1.3,1.3,7.1,222,0,0,0,4.53,19.91,29.77,83,0,0,29.55
2023-09-15T21:35:00-07:00,2023-09-15 21:35:00,68.9,1.5,1.5,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:30:00-07:00,2023-09-15 21:30:00,68.9,1.7,1.7,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:25:00-07:00,2023-09-15 21:25:00,68.9,0,0,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:20:00-07:00,2023-09-15 21:20:00,68.9,1.5,1.5,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:15:00-07:00,2023-09-15 21:15:00,68.9,2.4,2.4,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:10:00-07:00,2023-09-15 21:10:00,69,2,2,7.1,222,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:05:00-07:00,2023-09-15 21:05:00,69,1.7,1.7,7.1,228,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T21:00:00-07:00,2023-09-15 21:00:00,69,1.5,1.5,7.1,264,0,0,0,4.53,19.91,29.76,83,0,0,29.54
2023-09-15T20:55:00-07:00,2023-09-15 20:55:00,69,1.7,1.7,7.1,264,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T20:50:00-07:00,2023-09-15 20:50:00,69,0,0,7.1,264,0,0,0,4.53,19.91,29.76,83,0,0,29.54
2023-09-15T20:45:00-07:00,2023-09-15 20:45:00,68.9,0,0,7.1,264,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T20:40:00-07:00,2023-09-15 20:40:00,69.2,1.3,1.3,7.1,253,0,0,0,4.53,19.91,29.76,83,0,0,29.55
2023-09-15T20:35:00-07:00,2023-09-15 20:35:00,69,0,0,7.1,253,0,0,0,4.53,19.91,29.75,82,0,0,29.54
2023-09-15T20:30:00-07:00,2023-09-15 20:30:00,69,2,2,7.1,253,0,0,0,4.53,19.91,29.75,83,0,0,29.54
2023-09-15T20:25:00-07:00,2023-09-15 20:25:00,69,2.2,2.2,7.1,254,0,0,0,4.53,19.91,29.75,83,0,0,29.54
2023-09-15T20:20:00-07:00,2023-09-15 20:20:00,69,1.5,1.5,7.1,246,0,0,0,4.53,19.91,29.74,83,0,0,29.53
2023-09-15T20:15:00-07:00,2023-09-15 20:15:00,69,1.7,1.7,7.1,246,0,0,0,4.53,19.91,29.74,83,0,0,29.53
2023-09-15T20:10:00-07:00,2023-09-15 20:10:00,69,0,0,7.1,246,0,0,0,4.53,19.91,29.74,82,0,0,29.53
2023-09-15T20:05:00-07:00,2023-09-15 20:05:00,69,1.5,1.5,7.1,249,0,0,0,4.53,19.91,29.74,82,0,0,29.53
2023-09-15T20:00:00-07:00,2023-09-15 20:00:00,69.2,0,0,7.1,244,0,0,0,4.53,19.91,29.74,83,0,0,29.53
2023-09-15T19:55:00-07:00,2023-09-15 19:55:00,69.2,0,0,7.1,244,0,0,0,4.53,19.91,29.73,82,0,0,29.52
2023-09-15T19:50:00-07:00,2023-09-15 19:50:00,69.4,0,0,7.1,245,0,0,0,4.53,19.91,29.73,82,0,0,29.52
2023-09-15T19:45:00-07:00,2023-09-15 19:45:00,69.4,0,0,7.1,246,0,0,0,4.53,19.91,29.73,82,0,0,29.52
2023-09-15T19:40:00-07:00,2023-09-15 19:40:00,69.4,2.6,2.6,7.1,246,0,0,0,4.53,19.91,29.73,81,0,0,29.52
2023-09-15T19:35:00-07:00,2023-09-15 19:35:00,69.4,0,0,7.1,247,0,0,0,4.53,19.91,29.74,81,0,0,29.53
2023-09-15T19:30:00-07:00,2023-09-15 19:30:00,69.4,2,2,7.1,248,0,0,0,4.53,19.91,29.73,81,0,0,29.52
2023-09-15T19:25:00-07:00,2023-09-15 19:25:00,69.4,1.5,1.5,7.1,248,0,0,0,4.53,19.91,29.73,81,0,0,29.52
2023-09-15T19:20:00-07:00,2023-09-15 19:20:00,69.4,1.7,1.7,7.1,250,0,0,0,4.53,19.91,29.73,81,0,0,29.51
2023-09-15T19:15:00-07:00,2023-09-15 19:15:00,69.4,0,0,7.1,250,0,0,0,4.53,19.91,29.73,82,0,0,29.51
2023-09-15T19:10:00-07:00,2023-09-15 19:10:00,69.4,2.4,2.4,7.1,251,0,0,0,4.53,19.91,29.72,81,0,0,29.51
2023-09-15T19:05:00-07:00,2023-09-15 19:05:00,69.4,1.7,1.7,7.1,252,0,0,0,4.53,19.91,29.73,81,0,0.2,29.51
2023-09-15T19:00:00-07:00,2023-09-15 19:00:00,69.4,0,0,7.1,251,0,0,0,4.53,19.91,29.73,82,0,0.7,29.52
2023-09-15T18:55:00-07:00,2023-09-15 18:55:00,69.4,1.5,1.5,7.1,252,0,0,0,4.53,19.91,29.73,81,0,1.5,29.51
2023-09-15T18:50:00-07:00,2023-09-15 18:50:00,69.6,2.4,2.4,7.1,252,0,0,0,4.53,19.91,29.73,80,0,2.4,29.51
2023-09-15T18:45:00-07:00,2023-09-15 18:45:00,69.6,2,2,7.1,253,0,0,0,4.53,19.91,29.73,81,0,3.1,29.51
2023-09-15T18:40:00-07:00,2023-09-15 18:40:00,69.8,0,0,7.1,253,0,0,0,4.53,19.91,29.73,80,0,4.3,29.52
2023-09-15T18:35:00-07:00,2023-09-15 18:35:00,69.8,0,0,7.1,253,0,0,0,4.53,19.91,29.73,80,0,5.4,29.52
2023-09-15T18:30:00-07:00,2023-09-15 18:30:00,69.6,0,0,7.1,253,0,0,0,4.53,19.91,29.73,81,0,7.3,29.52
2023-09-15T18:25:00-07:00,2023-09-15 18:25:00,69.6,1.5,1.5,7.1,254,0,0,0,4.53,19.91,29.73,81,0,8.1,29.52
